"user_id","review_id","stars","date","text","type","business_id","votes.funny","votes.useful","votes.cool"
"Qc59qOah0-erD5p1XpswsQ","VZCx-0o98omGVzKOKKS__g",5,"2009-08-01","Rather than adding more noise to the already crowded Yelp page for Au Pied de Cochon, I'll do what I like to do in this situation and give you my top five list on why you should eat here:

1. The open kitchen so you can watch the quick moving -- and good looking -- chefs freshly prepare everything before your very eyes!
2. Bison tongue, Duck in a Can, and Sugar Pie. Nom, nom, nom!
3. Foie Gras Poutine, and prepared about 15 other ways
4. Amazing staff
5. Martin Picard running the kitchen in shorts and a Dickies shirt. 

In a word: Awesome.","review","KKucN3P6aH84MCfPr56a8g",1,3,3
"Vl68-T4A9Vj_6zotqRaijA","fyO4M3B8UiRBfV0g7ssWTw",2,"2014-01-26","Went with my wife and 1 yr old.  Odd that there was no hostess table.  Perhaps they were under staffed today, but it took a while to be greeted and order taken.

Large coffee cups were very nice.  Enjoyed the fresh coffee.  I also liked the decor.  

Took forever for food to arrived.  It was very good, but portions are small.

I don't plan on going back again.","review","o3UxKDqQVZ_8mlO1eZ7JIg",0,0,0
"NfyrHToGY6aJu22U9oS8Xg","8ZATUjwa4rnwhjqocpnRzA",2,"2011-12-16","It's been a little while since we've ordered take out from Surang's but have been going to Surang's since it opened and tonight will be our last for a while to come, if ever again.

The wifey ordered the Pad Kee Mow (beef) and it was excellent and the same as always. I ordered the red curry with beef and I got home to find the curry container half empty. I thought if it had plenty of veggies and beef that I wouldn't sweat it and we'd call it a day. However, there were about 3 tiny pieces of beef in my 1/2 order of curry and I wasn't pleased.

I called the restaurant to explain the problem and was told that they measured everything out and it was the correct amount. After telling them I'd ordered it at least 20 times before and it wasn't correct she insisted it was. Well, I guess we'll be headed back down the street to Panna Thai from now on.

Here's a big hint for the owners of restaurants. When a repeat customer calls and complains about an easily resolved issue you might want to try to make them happy otherwise they go to the competition which is what we'll be doing from now on.","review","_BL-KfyZqYruqDvxTY-vUg",1,2,2
"9M6sVYXlOvwCEE8c8pAWzQ","BBLwvXHDWgym67xEyB73NQ",5,"2011-04-16","I looooooooooove this place!  Amazing breakfast/brunch. If you love eggs ANYTHING, this is the place to go!  Good portion, cheap price and friendly atmosphere. Everyone should try the taco style omelette!  It's to die for!!!","review","1yx2zLskVTe5WQdYjL2Apw",0,1,0
"GLMX8Is_Ur6aIVV86Ok0Lw","deGJz8R0St8OoVQI1V17yw",3,"2008-06-26","For the most part the biggest gamble I'll take is a road side taco stand. Just not a betting girl.

But our company has had a few outings here. None of them were Siegfried and Roy though. But I did get to see that show once. I remember whispering to my boss, ""This can't end well in time."" Huh. I'm sorry but white tigers were not meant to live around tourists in Old Navy shorts and crappy flip flops.

I prefer The Venetian. Where the biggest gamble you can take is hitting on 16. The Mirage needs a facelift. Badly. But I give them kudos on the room-service. It's actually quite good.","review","DUdBbrvqfaqUe9GYKmYNtA",4,4,4
"2KLg9BGxebym4neLPd9dNg","rxrsOLcq-6pwNNb7W6isZQ",4,"2011-08-21","Elizabeth is one of my favorite parts of town; I love how old houses have been remade into restaurants and offices.  Too often charming old buildings are paved over and replaces with concrete boxes.  The Cajun Queen is in one of these old homes, and this lends it a very intimate and warm atmosphere.

Of course, atmosphere isn't everything when it comes to restaurants, but the food at the Cajun Queen was fortunately spot-on as well.  Our tables started with the fried oyster appetizer, and it was a hit: emarkably light for a fried dish, it was like eating little oyster clouds.  For my main course, I ordered etouffee with all three (chicken, shrimp, and crawfish).  It was creamy and deeply, darkly spicy.  I was a little worried about the protein aspect, since those three items have different cooking times, but all were perfectly done.

The Cajun Queen provided us with a delicious dinner.  I knock a single star off only because the service, while not bad, wasn't great either.  The place isn't exactly cheap, so our waiter earned a nice tip.  He could've paid just slightly more attention to our table.  Oh well, everyone has an off day.","review","jTGQUWGIVvL-aY03C5BEmw",0,2,1
"wnTp0B4dH-pPLupw5FOCZA","dJKFD8jFF4_EnnncjKoqyA",3,"2014-07-02","Bon dans l'ensemble, mais leur Horchata n'est pas la meilleur selon moi: trop de grumeaux dans le fond. Pupusas très bons! Staff gentil mais un peu mêlé. Impossible de prendre seulement un breuvage, même si on y vient au milieu de l'après-midi. Pas de wifi.","review","S2IYRroiPylG4edWB8Jndg",0,1,0
"GoymUzKqvET2QOZkIWZi9w","6jPHTo6tRaOLTI4AWZJGqg",2,"2014-02-24","Last night my dad had an epiphany...he purchased Groupons for AZ YO CO that are about to expire!! Ahhhhhhhh. So after our family dinner, we hopped in the car and headed to get frozen yogurt.

There weren't any other customers in the store when we walked in, but it was pretty late on a Sunday night. First thing I noticed was the lack of frozen yogurt options. They had a lot of machines but not a lot of flavors. So I looked around for the sample cups and to my disappointment I quickly realized this is one of those places that gets your samples for you. I HATE THAT!!! We will drive out of our way to avoid places like this. I don't know why it irritates me sooooo much, maybe it has something to do with the fact I'm a big girl, I can get my own sample of yogurt without making a mess. Careless folks ruin it for everyone I guess. 

The yogurt wasn't good. It was very soft, borderline runny. 

The toppings were lacking. If I wanted tons of candy, I would have been all set. But, since I wanted fruit, my options were limited. I could have strawberries, but they weren't fresh strawberries, it was like a chunky syrup. I could have cherries but I'd have to pick off all the stems, I could have pineapple...but I don't want pineapple, that sounds horrible on my half peanut butter, half cake batter yogurt. 

So despite my dad telling me I needed to get $6 worth, I just couldn't. 


I'm glad this place isn't by my house since I have no desire to come back. But, it is by my parent's house...guess I should check yelp for better options for them.","review","dUbYfSq6InzzAEjvlu9p6A",0,1,0
"GHHJi9AuaEPCZ8vvtQG3sA","yt3nrBJSIfvo2zEkaISPZw",4,"2009-10-29","Looking for service with a smile? Go somewhere else. But if you want good food at really reasonable prices--this is your place. 

My group at work had a team lunch here (12) and I arrived early to alert the wait staff that we were apart of the ""separate check club."" Our lovely waitress gave me the look of death. She really didn't respond, so I wasn't sure if she actually heard me, so I repeated myself again. Sunshine cut me off and said ""I got it."" Ok, you got it? So you will bring 12 separate checks right? umm not so much. Sunshine brought one check and felt the need to make the comment ""we usually look down upon this."" 
Uncomfortable. 
To be nice, once again. I wrote everyone's name and the amount to charge them on the check, pretty easy right? Apparently not for Sunshine. I got the eye roll. For a split second I considered kicking her in the face, but with my boss sitting across the table from me, I didn't think it was wise. 
On the flip side, the food was really good. My pizza was delish, and the house salad dressing was so could, you can drink right from the bottle. Worth the try for sure. Just leave your pride and self esteem at the office.","review","ftdKj1p2Y0ABrr9uOPn97g",1,1,0
"nRq1vPsU78yNy6J7FxCKQg","KzdAj97si0lHXWOv9y7wrg",5,"2013-10-03","there's really nothing that's special about this buffet when compared to others, but it's my favorite.  i love it!  my trip isn't complete without brunch here.  

the line to get in is always long.  somehow my uncle always gets us in really quick.  he tells us to go straight up front. we've never had to wait longer than two minutes.  

service is good. the waiters/waitresses are super nice and check on you often, but not to where you feel you don't have privacy and it's bothersome.  

75% of what i grab is breakfast. i love breakfast! their omelets are the bomb.  their chinese food is pretty tasty too.  i load up on salad here. pasta is good.  super stringy cheesy pizza.  mmm yum.  i never pass on their gelato bar.  i grab several flavors at a time.  i just discovered their brownies. they have nice crisp edges and center is so moist.  

you can stay here all day if you wanted to.  i never have though!","review","zehWnERkDLir0lDxxtVXPQ",1,2,2
